snapshot_date,token_type,base_date,index_value,matched_series,eligible_series,observations,min_usd_per_1m,median_usd_per_1m,mean_usd_per_1m,max_usd_per_1m,p10_usd_per_1m,p25_usd_per_1m,p75_usd_per_1m,p90_usd_per_1m,models,providers,sources
2026-06-04,cache_read,2026-06-04,100.0,1463,1463,1463,0.002,0.1999999999999999,0.7764372863997949,37.5,0.0249999999999999,0.075,0.5,1.4999999999999998,1040,61,4
2026-06-04,cache_write,2026-06-04,100.0,440,440,440,0.0083,3.75,4.6811938068181815,37.5,0.0083,0.375,6.25,18.75,341,20,3
2026-06-04,cache_write_1h,2026-06-04,100.0,188,188,188,0.0699999999999999,10.0,9.799946808510638,30.0,2.0,5.999999999999999,10.0,30.0,109,10,2
2026-06-04,input,2026-06-04,100.0,4845,4845,4845,0.001,0.5700000000000001,138.12785372136224,135000.0,0.08,0.1999999999999999,2.0,5.0,3666,135,4
2026-06-04,output,2026-06-04,100.0,4677,4677,4677,0.001,1.7999999999999998,360.5175683771648,540000.0,0.1999999999999999,0.5,9.0,20.0,3534,132,4
2026-06-04,reasoning,2026-06-04,100.0,71,71,71,0.3999999999999999,2.5,4.735211267605633,60.0,0.3999999999999999,1.5,4.8,10.0,70,9,3
2026-06-05,cache_read,2026-06-04,100.00000000000003,1463,1464,1464,0.002,0.19999999999999998,0.7760093920784836,37.5,0.024999999999999998,0.075,0.5,1.4999999999999998,1041,62,4
2026-06-05,cache_write,2026-06-04,100.0,440,440,440,0.0083,3.75,4.6811938068181815,37.5,0.0083,0.375,6.25,18.75,341,20,3
2026-06-05,cache_write_1h,2026-06-04,100.0,188,188,188,0.06999999999999999,10.0,9.799946808510638,30.0,2.0,5.999999999999999,10.0,30.0,109,10,2
2026-06-05,input,2026-06-04,100.0,4845,4846,4846,0.001,0.5700000000000001,138.09945342137846,135000.0,0.08,0.19999999999999998,2.0,5.0,3667,135,4
2026-06-05,output,2026-06-04,99.98907851767387,4677,4678,4678,0.001,1.7999999999999998,360.4410319153484,540000.0,0.19999999999999998,0.5,9.0,20.0,3535,132,4
2026-06-05,reasoning,2026-06-04,100.0,71,71,71,0.39999999999999997,2.5,4.735211267605633,60.0,0.39999999999999997,1.5,4.8,10.0,70,9,3
