snapshot_date,token_type,base_date,index_value,matched_series,eligible_series,observations,min_usd_per_1m,median_usd_per_1m,mean_usd_per_1m,max_usd_per_1m,p10_usd_per_1m,p25_usd_per_1m,p75_usd_per_1m,p90_usd_per_1m,models,providers,sources
2026-06-04,cache_read,2026-06-04,100.0,1017,1017,1017,0.002,0.175,0.8546330383509342,37.5,0.024999999999999953,0.06,0.5,1.5,633,50,1
2026-06-04,cache_write,2026-06-04,100.0,297,297,297,0.0083,3.75,4.3509584175084175,37.5,0.0083,0.3,6.25,15.000000000000213,201,15,1
2026-06-04,cache_write_1h,2026-06-04,100.0,109,109,109,0.0699999999999999,6.75,9.97467889908257,30.0,2.0,5.999999999999999,10.0,30.0,55,8,1
2026-06-04,input,2026-06-04,100.0,3670,3670,3670,0.005,0.5,172.98054184741144,135000.0,0.08,0.1999999999999999,1.75,4.0,2298,118,1
2026-06-04,output,2026-06-04,100.0,3635,3635,3635,0.016,1.4999999999999998,459.49430075653373,540000.0,0.1999999999999999,0.4,5.999999999999999,16.0,2274,117,1
2026-06-04,reasoning,2026-06-04,100.0,49,49,49,0.3999999999999999,2.5,4.469387755102041,60.0,0.3999999999999999,1.5,4.2,8.520000000000001,35,7,1
2026-06-05,cache_read,2026-06-04,100.00000000000003,1017,1018,1018,0.002,0.175,0.8539408644429273,37.5,0.025,0.060000000000000005,0.5,1.5,634,51,1
2026-06-05,cache_write,2026-06-04,100.0,297,297,297,0.0083,3.75,4.3509584175084175,37.5,0.0083,0.3,6.25,15.000000000000213,201,15,1
2026-06-05,cache_write_1h,2026-06-04,100.0,109,109,109,0.06999999999999999,6.75,9.97467889908257,30.0,2.0,5.999999999999999,10.0,30.0,55,8,1
2026-06-05,input,2026-06-04,100.0,3670,3671,3671,0.005,0.5,172.93355722691365,135000.0,0.08,0.19999999999999998,1.75,4.0,2299,118,1
2026-06-05,output,2026-06-04,99.98594801286521,3635,3636,3636,0.016,1.4999999999999998,459.3686092546755,540000.0,0.19999999999999998,0.4,5.999999999999999,16.0,2275,117,1
2026-06-05,reasoning,2026-06-04,100.0,49,49,49,0.39999999999999997,2.5,4.469387755102041,60.0,0.39999999999999997,1.5,4.2,8.520000000000001,35,7,1
