source,source_url,provider,model_id,model_name,token_type,price_usd_per_1m,raw_price,raw_unit,price_dimension,from_date,to_date,history_quality,canonical_provider,canonical_model_id,model_company,model_family,official_pricing_url,is_multimodal_text_output,is_core_model,core_exclusion_reason,canonical_series_id,snapshot_date,source_updated_at,pricing_plan,mode,context_length,tokenizer,notes,is_positive_price,series_id
simon_llm_prices,https://www.llm-prices.com/historical-v1.json,deepseek,deepseek-chat,DeepSeek Chat,input,0.14,0.14,usd_per_1m_tokens,input,,2025-02-08,dated_interval,deepseek,deepseek-chat,DeepSeek,DeepSeek Chat,https://api-docs.deepseek.com/quick_start/pricing,False,True,,deepseek|deepseek-chat|input,2025-02-08,,historical_interval,,,,Simon historical interval backfill row.,True,simon_llm_prices|deepseek|deepseek-chat|input|input
simon_llm_prices,https://www.llm-prices.com/historical-v1.json,deepseek,deepseek-chat,DeepSeek Chat,output,0.28,0.28,usd_per_1m_tokens,output,,2025-02-08,dated_interval,deepseek,deepseek-chat,DeepSeek,DeepSeek Chat,https://api-docs.deepseek.com/quick_start/pricing,False,True,,deepseek|deepseek-chat|output,2025-02-08,,historical_interval,,,,Simon historical interval backfill row.,True,simon_llm_prices|deepseek|deepseek-chat|output|output
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-lite,Amazon Nova Lite,input,0.06,0.06,usd_per_1m_tokens,input,,,current_snapshot,bedrock,amazon-nova-lite,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-lite|input,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-lite|input|input
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-lite,Amazon Nova Lite,output,0.24,0.24,usd_per_1m_tokens,output,,,current_snapshot,bedrock,amazon-nova-lite,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-lite|output,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-lite|output|output
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-micro,Amazon Nova Micro,input,0.035,0.035,usd_per_1m_tokens,input,,,current_snapshot,bedrock,amazon-nova-micro,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-micro|input,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-micro|input|input
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-micro,Amazon Nova Micro,output,0.14,0.14,usd_per_1m_tokens,output,,,current_snapshot,bedrock,amazon-nova-micro,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-micro|output,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-micro|output|output
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-premier,Amazon Nova Premier,input,2.5,2.5,usd_per_1m_tokens,input,,,current_snapshot,bedrock,amazon-nova-premier,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-premier|input,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-premier|input|input
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-premier,Amazon Nova Premier,output,12.5,12.5,usd_per_1m_tokens,output,,,current_snapshot,bedrock,amazon-nova-premier,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-premier|output,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-premier|output|output
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-pro,Amazon Nova Pro,input,0.8,0.8,usd_per_1m_tokens,input,,,current_snapshot,bedrock,amazon-nova-pro,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-pro|input,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-pro|input|input
simon_llm_prices,https://www.llm-prices.com/current-v1.json,amazon,amazon-nova-pro,Amazon Nova Pro,output,3.2,3.2,usd_per_1m_tokens,output,,,current_snapshot,bedrock,amazon-nova-pro,Amazon,Nova,https://aws.amazon.com/bedrock/pricing/,False,True,,bedrock|amazon-nova-pro|output,2026-06-05,2026-05-19,standard,,,,,True,simon_llm_prices|amazon|amazon-nova-pro|output|output
