,manheim
1997-01-31,100.0
1997-02-28,100.3279763857
1997-03-31,100.15305564666
1997-04-30,99.96720236143
1997-05-31,100.4373018476
1997-06-30,99.6282934295397
1997-07-31,99.7048212528698
1997-08-31,101.213512627091
1997-09-30,100.05466273095
1997-10-31,101.027659341861
1997-11-30,99.93440472286
1997-12-31,100.05466273095
1998-01-31,100.56849240188
1998-02-28,100.819940964251
1998-03-31,101.300972996611
1998-04-30,103.137640756532
1998-05-31,102.558215808462
1998-06-30,102.765934186072
1998-07-31,105.280419809774
1998-08-31,105.269487263584
1998-09-30,106.493932436865
1998-10-31,107.455996501585
1998-11-30,108.199409642506
1998-12-31,108.363397835356
1999-01-31,108.811632229146
1999-02-28,108.789767136766
1999-03-31,107.783972887285
1999-04-30,108.767902044386
1999-05-31,109.052148245326
1999-06-30,109.336394446267
1999-07-31,109.598775554827
1999-08-31,110.123537771947
1999-09-30,110.003279763857
1999-10-31,109.970482125287
1999-11-30,109.861156663387
1999-12-31,109.751831201487
2000-01-31,109.106810976276
2000-02-29,109.489450092927
2000-03-31,110.134470318137
2000-04-30,109.817426478627
2000-05-31,110.232863233847
2000-06-30,110.877883459058
2000-07-31,110.768557997158
2000-08-31,111.020006559528
2000-09-30,111.304252760468
2000-10-31,111.632229146168
2000-11-30,111.610364053788
2000-12-31,111.752487154258
2001-01-31,111.818082431398
2001-02-28,111.894610254728
2001-03-31,111.107466929048
2001-04-30,110.856018366678
2001-05-31,110.484311796217
2001-06-30,110.003279763857
2001-07-31,109.740898655297
2001-08-31,110.866950912868
2001-09-30,109.347326992457
2001-10-31,108.407128020116
2001-11-30,109.248934076747
2001-12-31,110.407783972887
2002-01-31,111.730622061878
2002-02-28,112.998797419919
2002-03-31,111.774352246638
2002-04-30,111.358915491418
2002-05-31,110.877883459058
2002-06-30,109.587843008637
2002-07-31,108.844429867716
2002-08-31,107.762107794905
2002-09-30,107.062424838745
2002-10-31,105.848912211654
2002-11-30,106.122225866404
2002-12-31,106.253416420684
2003-01-31,105.160161801684
2003-02-28,104.307423198863
2003-03-31,102.547283262272
2003-04-30,102.853394555592
2003-05-31,104.209030283153
2003-06-30,106.472067344484
2003-07-31,107.860500710615
2003-08-31,108.997485514376
2003-09-30,109.948617032907
2003-10-31,110.834153274298
2003-11-30,110.287525964797
2003-12-31,109.270799169126
2004-01-31,108.527386028206
2004-02-29,109.259866622936
2004-03-31,110.309391057177
2004-04-30,111.238657483328
2004-05-31,111.872745162348
2004-06-30,111.446375860938
2004-07-31,111.861812616158
2004-08-31,111.610364053788
2004-09-30,111.544768776648
2004-10-31,111.643161692358
2004-11-30,111.730622061878
2004-12-31,112.386574833279
2005-01-31,113.370503990379
2005-02-28,114.9885208265
2005-03-31,115.906854706461
2005-04-30,116.245763638351
2005-05-31,115.906854706461
2005-06-30,115.229036842681
2005-07-31,114.45282606319
2005-08-31,114.36536569367
2005-09-30,115.633541051711
2005-10-31,116.825188586422
2005-11-30,118.148026675413
2005-12-31,119.328741663933
2006-01-31,119.350606756313
2006-02-28,118.803979446813
2006-03-31,117.732589920192
2006-04-30,117.196895156882
2006-05-31,116.726795670712
2006-06-30,117.000109325462
2006-07-31,116.890783863562
2006-08-31,116.879851317372
2006-09-30,116.475347108341
2006-10-31,117.131299879742
2006-11-30,118.246419591123
2006-12-31,118.836777085383
2007-01-31,118.814911993003
2007-02-28,119.492729856784
2007-03-31,120.498524106264
2007-04-30,120.913960861485
2007-05-31,121.865092380015
2007-06-30,121.493385809555
2007-07-31,121.690171640975
2007-08-31,122.083743303815
2007-09-30,122.663168251886
2007-10-31,121.231004700995
2007-11-30,119.438067125834
2007-12-31,117.437411173062
2008-01-31,116.519077293102
2008-02-29,115.480485405051
2008-03-31,114.72613971794
2008-04-30,114.2232425932
2008-05-31,112.878539411829
2008-06-30,111.446375860938
2008-07-31,113.315841259429
2008-08-31,115.600743413141
2008-09-30,115.731933967421
2008-10-31,109.981414671477
2008-11-30,103.979446813163
2008-12-31,104.132502459823
2009-01-31,108.789767136766
2009-02-28,113.611020006559
2009-03-31,114.63867934842
2009-04-30,116.278561276921
2009-05-31,119.940964250574
2009-06-30,124.969935497977
2009-07-31,127.429758390729
2009-08-31,129.18989832732
2009-09-30,132.174483437192
2009-10-31,132.294741445282
2009-11-30,132.021427790532
2009-12-31,131.901169782442
2010-01-31,131.791844320542
2010-02-28,131.605991035312
2010-03-31,133.726904996173
2010-04-30,134.688969060894
2010-05-31,136.142997704165
2010-06-30,134.907619984694
2010-07-31,133.748770088553
2010-08-31,133.792500273313
2010-09-30,132.885098939543
2010-10-31,135.246528916585
2010-11-30,138.132721110747
2010-12-31,139.521154476878
2011-01-31,139.685142669728
2011-02-28,138.777741335957
2011-03-31,138.242046572647
2011-04-30,138.919864436427
2011-05-31,139.051054990707
2011-06-30,138.296709303597
2011-07-31,137.279982507926
2011-08-31,136.186727888925
2011-09-30,135.006012900404
2011-10-31,135.257461462775
2011-11-30,136.569367005576
2011-12-31,137.761014540286
2012-01-31,137.793812178856
2012-02-29,137.323712692686
2012-03-31,137.301847600306
2012-04-30,136.481906636055
2012-05-31,134.809227068984
2012-06-30,132.742975839073
2012-07-31,131.070296272002
2012-08-31,130.676724609161
2012-09-30,130.851645348202
2012-10-31,132.578987646223
2012-11-30,133.256805510003
2012-12-31,134.787361976604
2013-01-31,134.448453044714
2013-02-28,132.961626762873
2013-03-31,130.753252432491
2013-04-30,129.02591013447
2013-05-31,129.08057286542
2013-06-30,130.337815677271
2013-07-31,131.824641959112
2013-08-31,133.355198425713
2013-09-30,133.333333333333
2013-10-31,132.742975839073
2013-11-30,132.830436208593
2013-12-31,132.119820706242
2014-01-31,132.710178200503
2014-02-28,134.000218650924
2014-03-31,135.268394008965
2014-04-30,135.913414234175
2014-05-31,135.749426041325
2014-06-30,135.104405816115
2014-07-31,133.737837542364
2014-08-31,132.742975839073
2014-09-30,132.414999453373
2014-10-31,132.786706023833
2014-11-30,134.393790313764
2014-12-31,135.159068547065
2015-01-31,136.711490106046
2015-02-28,136.481906636056
2015-03-31,135.869684049415
2015-04-30,135.530775117525
2015-05-31,135.060675631355
2015-06-30,135.126270908495
2015-07-31,135.410517109435
2015-08-31,135.651033125615
2015-09-30,136.153930250355
2015-10-31,136.733355198426
2015-11-30,136.460041543675
2015-12-31,137.148791953646
2016-01-31,136.569367005576
2016-02-29,134.448453044714
2016-03-31,133.541051710943
2016-04-30,133.901825735214
2016-05-31,135.738493495135
2016-06-30,137.629823986006
2016-07-31,138.537225319777
2016-08-31,138.460697496447
2016-09-30,138.504427681207
2016-10-31,137.564228708866
2016-11-30,136.132065157975
2016-12-31,136.339783535585
2017-01-31,136.219525527495
2017-02-28,136.000874603695
2017-03-31,135.333989286105
2017-04-30,136.000874603695
2017-05-31,139.488356838308
2017-06-30,141.084508582049
2017-07-31,142.14496556248
2017-08-31,143.20542254291
2017-09-30,147.173936809883
2017-10-31,148.671695637914
2017-11-30,146.747567508473
2017-12-31,143.948835683831
2018-01-31,142.8883787034
2018-02-28,142.8883787034
2018-03-31,142.6697277796
2018-04-30,144.571990816661
2018-05-31,146.375860938013
2018-06-30,147.152071717503
2018-07-31,149.371378594075
2018-08-31,152.377828796327
2018-09-30,152.585547173937
2018-10-31,153.678801792938
2018-11-30,151.656280747786
2018-12-31,150.092926642615
2019-01-31,147.654968842243
2019-02-28,147.490980649393
2019-03-31,148.343719252214
2019-04-30,151.022193068766
2019-05-31,152.301300972997
2019-06-30,153.230567399147
2019-07-31,153.241499945337
2019-08-31,154.192631463868
2019-09-30,152.596479720127
2019-10-31,153.044714113917
2019-11-30,151.546955285886
2019-12-31,153.886520170548
2020-01-31,154.487810210998
2020-02-29,156.57592653329
2020-03-31,154.848584235268
2020-04-30,137.181589592216
2020-05-31,149.469771509785
2020-06-30,162.840275500164
2020-07-31,172.351590685471
