,PCEPI,PCEPILFE
2009-01-01,88.108,87.882
2009-02-01,88.266,87.952
2009-03-01,88.169,88.015
2009-04-01,88.295,88.211
2009-05-01,88.387,88.279
2009-06-01,88.912,88.392
2009-07-01,88.922,88.468
2009-08-01,89.18,88.599
2009-09-01,89.324,88.755
2009-10-01,89.663,89.082
2009-11-01,89.887,89.16
2009-12-01,89.939,89.236
2010-01-01,90.136,89.368
2010-02-01,90.134,89.446
2010-03-01,90.261,89.579
2010-04-01,90.31,89.625
2010-05-01,90.339,89.724
2010-06-01,90.301,89.767
2010-07-01,90.378,89.769
2010-08-01,90.502,89.855
2010-09-01,90.592,89.906
2010-10-01,90.881,90.043
2010-11-01,91.062,90.16
2010-12-01,91.268,90.179
2011-01-01,91.542,90.372
2011-02-01,91.797,90.53
2011-03-01,92.166,90.667
2011-04-01,92.557,90.875
2011-05-01,92.838,91.091
2011-06-01,92.819,91.191
2011-07-01,92.977,91.326
2011-08-01,93.196,91.508
2011-09-01,93.327,91.57
2011-10-01,93.329,91.614
2011-11-01,93.52,91.808
2011-12-01,93.574,91.96
2012-01-01,93.894,92.235
2012-02-01,94.104,92.364
2012-03-01,94.284,92.521
2012-04-01,94.408,92.661
2012-05-01,94.302,92.755
2012-06-01,94.254,92.85
2012-07-01,94.288,92.946
2012-08-01,94.605,93.005
2012-09-01,94.893,93.119
2012-10-01,95.174,93.345
2012-11-01,95.109,93.445
2012-12-01,95.094,93.514
2013-01-01,95.275,93.703
2013-02-01,95.614,93.805
2013-03-01,95.488,93.891
2013-04-01,95.391,93.937
2013-05-01,95.461,94.047
2013-06-01,95.673,94.209
2013-07-01,95.792,94.329
2013-08-01,95.934,94.431
2013-09-01,95.976,94.543
2013-10-01,96.103,94.703
2013-11-01,96.246,94.86
2013-12-01,96.414,94.961
2014-01-01,96.614,95.064
2014-02-01,96.66,95.109
2014-03-01,96.815,95.25
2014-04-01,96.987,95.413
2014-05-01,97.147,95.574
2014-06-01,97.253,95.682
2014-07-01,97.391,95.848
2014-08-01,97.379,95.885
2014-09-01,97.413,96.013
2014-10-01,97.384,96.096
2014-11-01,97.291,96.181
2014-12-01,97.12,96.249
2015-01-01,96.654,96.214
2015-02-01,96.825,96.324
2015-03-01,97.008,96.47
2015-04-01,97.094,96.648
2015-05-01,97.327,96.766
2015-06-01,97.516,96.882
2015-07-01,97.605,96.978
2015-08-01,97.612,97.056
2015-09-01,97.477,97.196
2015-10-01,97.477,97.228
2015-11-01,97.538,97.332
2015-12-01,97.456,97.396
