,headline_sa,headline_nsa,core_fe_sa,core_fe_nsa,core_fet_sa,core_fet_nsa,goods_sa,services_sa,foods_sa,energy_sa,coregoods_nsa
2009-11-01,100.2,100.0,,,,,100.5,100.1,100.0,100.0,99.9
2009-12-01,100.3,99.9,,,,,100.9,100.0,101.9,99.3,100.1
2010-01-01,101.2,101.0,,,,,102.0,100.8,102.0,104.1,100.4
2010-02-01,101.0,100.9,,,,,101.4,100.8,102.1,100.6,100.6
2010-03-01,101.1,101.2,,,,,102.1,100.5,104.6,104.4,100.9
2010-04-01,101.4,101.6,99.9,100.0,,,102.3,100.9,104.0,106.5,101.2
2010-05-01,101.6,101.8,100.2,100.2,,,102.3,101.3,104.2,107.4,101.3
2010-06-01,101.4,101.6,100.1,100.1,,,101.9,101.2,101.6,107.0,101.3
2010-07-01,101.6,101.7,100.3,100.2,,,102.0,101.4,102.4,107.7,101.3
2010-08-01,101.8,101.9,100.3,100.3,,,102.6,101.3,102.4,108.9,101.5
2010-09-01,102.1,102.0,100.5,100.4,,,103.0,101.6,103.7,108.0,101.8
2010-10-01,102.5,102.5,100.6,100.7,,,104.1,101.6,104.5,109.5,101.9
2010-11-01,102.8,102.6,100.7,100.7,,,104.7,101.7,106.0,110.3,102.1
2010-12-01,103.1,102.7,100.8,100.6,,,105.7,101.7,107.3,111.9,102.5
2011-01-01,103.7,103.4,101.2,101.2,,,106.7,102.1,108.2,114.9,103.1
2011-02-01,104.3,104.2,101.5,101.6,,,108.0,102.2,112.2,117.4,103.6
2011-03-01,105.0,105.2,102.0,102.2,,,108.8,102.8,111.5,125.4,104.0
2011-04-01,105.5,105.9,102.3,102.5,,,109.9,103.1,112.4,131.1,104.5
2011-05-01,105.8,106.1,102.5,102.5,,,110.4,103.3,111.3,134.9,104.7
2011-06-01,105.9,106.0,102.7,102.7,,,110.2,103.5,112.4,130.6,105.0
2011-07-01,106.1,106.3,102.9,102.9,,,110.6,103.6,112.7,131.1,105.3
2011-08-01,106.3,106.4,103.3,103.3,,,110.3,104.0,113.9,127.6,105.5
2011-09-01,106.7,106.6,103.5,103.3,,,111.1,104.2,114.7,129.1,105.8
2011-10-01,106.3,106.3,103.2,103.4,,,110.7,103.8,113.2,124.8,105.8
2011-11-01,106.6,106.4,103.4,103.4,,,111.0,104.2,114.2,124.7,105.7
2011-12-01,106.5,106.0,103.4,103.2,,,110.8,104.0,113.4,122.2,105.7
2012-01-01,106.9,106.6,103.8,103.7,,,111.2,104.5,113.7,123.3,106.2
2012-02-01,107.2,107.1,104.1,104.2,,,111.6,104.8,113.6,125.8,106.3
2012-03-01,107.4,107.7,104.3,104.5,,,111.9,105.0,114.4,130.0,106.6
