category_id,category,parent_id
78,Food & Non-alcoholic Beverages,
90,Food at home,78
92,Cereals,90
93,Meats,90
94,Dairy,90
95,Fruits,90
96,Other foods at home,90
91,Food away from home,78
79,Housing,
97,Owned dwellings,79
100,Mortgage interest and charges,97
101,Property taxes,97
102,"Maintenance, repairs, insurance, other expenses",97
98,Rented dwellings,79
99,Other lodging,79
80,Transport,
103,Vehicle purchases (net outlay),80
107,"Cars and trucks, NEW",103
108,"Cars and trucks, USED",103
109,Other vehicles,103
104,"Gasoline, other fuels, and motor oil",80
105,Other vehicle expenses,80
110,Vehicle finance charges,105
111,Maintenance and repairs,105
112,"Vehicle rental, leases, licenses, and other charges",105
113,Vehicle insurance,105
106,Public and other transportation,80
81,Utilities,
114,Natural gas,81
115,Electricity,81
116,Fuel oil and other fuels,81
117,Water and other public services,81
82,Health,
118,Health insurance,82
119,Medical services,82
120,Drugs,82
121,Medical supplies,82
83,Household Durables & Daily Use Items,
122,Household operations,83
125,Personal services,122
126,Other household expenses,122
123,Housekeeping supplies,83
127,Laundry and cleaning supplies,123
128,Other household products,123
129,Postage and stationery,123
124,Household furnishings and equipment,83
130,Household textiles,124
131,Furniture,124
132,Floor coverings,124
133,Major appliances,124
134,"Small appliances, miscellaneous housewares",124
135,Miscellaneous household equipment,124
84,Alcohol & Tobacco,
136,Alcoholic beverages,84
137,Tobacco Products and Smoking Supplies,84
85,Clothing & Footwear,
138,Men and boys,85
143,"Men, 16 and over",138
144,"Boys, 2 to 15",138
139,Women and girls,85
145,"Women, 16 and over",139
146,"Girls, 2 to 15",139
140,Children under 2,85
141,Footwear,85
142,Other apparel products and services,85
86,Communications,
147,"Residential phone service, VOIP, and phone cards",86
148,Cellular phone service,86
87,Education,
149,Reading,87
150,Education@1,87
88,Recreation & Culture,
151,Fees and admissions,88
152,Audio and visual equipment and services,88
153,"Pets, toys, hobbies, and playground equipment",88
155,Pets,153
156,"Toys, hobbies, and playground equipment",153
154,"Other entertainment supplies, equipment, and services",88
89,Other,
157,Personal Care products and services,89
158,Miscellaneous products and services,89
