t,y,trend_true,trend_smoothed_llt,trend_smoothed_ll,seasonal_true,seasonal_smoothed_llt,seasonal_smoothed_ll,noise_true
0,100.15235853987721,100.0,100.28826041193832,100.19949333177894,3.700743415417188e-17,-0.28546164822850273,-0.2596887558118649,0.15235853987721568
1,101.00113100251197,100.02112305563222,100.1650787642066,100.07648462266162,1.4999999999999998,1.3835534014216087,1.3747152063439203,-0.5199920531202478
2,103.01562254008141,100.04232073082487,100.22419992678674,100.22450954743765,2.598076211353316,2.7001652221233456,2.684028228978794,0.3752255979032286
3,103.59860895765992,100.12832659946432,100.25293489111756,100.30804750728247,3.0,2.7167642393713916,2.69046382399403,0.47028235819560693
4,101.82905639637123,100.20649777934483,100.07226020178763,100.03020376105219,2.598076211353316,2.238364577169558,2.210385736579612,-0.9755175943269182
5,101.14189059200545,100.29298034543662,100.05193452246834,100.00018724776103,1.4999999999999998,1.3518289200870504,1.3326166490085378,-0.651089753431159
6,100.41981721010814,100.3558970085245,100.1188052909244,100.08513965411697,4.0440147389837784e-16,0.2942476867912833,0.2926809499489509,0.06392020158364269
7,98.76607313697994,100.42419443315173,100.18342375619598,100.14480150028129,-1.4999999999999993,-1.298148825444841,-1.295653744392526,-0.1581212961717911
8,97.79244855560633,100.39892534571179,100.28773313612906,100.25449128555567,-2.598076211353315,-2.608262891429008,-2.585570853752171,-0.008400578752144398
9,97.0193152585604,100.44583722234718,100.35442384957084,100.28979183453671,-3.0,-2.9211773462620427,-2.902647469159849,-0.42652196378679
10,98.3984176921103,100.5567949160322,100.55894226855878,100.54660085867457,-2.598076211353316,-2.2729285402131896,-2.2479243362777286,0.4396989874314143
11,99.5095164794401,100.59372916695776,100.72603326274493,100.74334526583633,-1.4731086552321409,-1.3086032854102254,-1.2996729534182223,0.38889596771447416
12,100.60319035604319,100.65041158674691,100.86246198730954,100.90043799572531,-0.08023657948433338,-0.30715857569605104,-0.2867570778526197,0.03301534878060802
13,102.76147822713484,100.7485709941856,100.98294567775085,101.06384819291455,1.4492866294652291,1.4100636644460718,1.4025383466962047,0.5636206034840164
14,104.0479092107649,100.85708692777362,100.98073937597869,101.04955274222658,2.9570676118652592,2.7155374012696774,2.700807234745536,0.2337546711260228
15,103.06052278360347,100.7761502079254,100.86144915665952,100.85607169735887,2.7140188071197047,2.66960892064294,2.6413380628844942,-0.4296462314416191
16,103.48269404855179,100.78053285172982,100.89883423222047,100.92568611236095,2.5177858047807264,2.298868366349539,2.273484913533898,0.18437539204124942
17,101.8016628833962,100.81920594160044,100.8413250025836,100.82456158567311,1.4618982422102542,1.36072180548423,1.3400701904482448,-0.47944130041449945
18,101.54304746339574,100.93718571751646,100.91713259372906,100.94201868960381,0.16663659522563656,0.27466282444722245,0.27274540351410703,0.43922515065363626
19,99.4682937552333,100.94892706727327,100.87598292609914,100.86178195304716,-1.4556703565468498,-1.2858067647081317,-1.2827776883614603,-0.024962955493126448
20,98.18322202231992,100.974301487089,100.87541674288127,100.84821562314997,-2.698648282996451,-2.639420845077478,-2.617771746409913,-0.09243118177263028
21,97.83946476089432,100.97409437703806,100.89242280644514,100.86308652340351,-2.7941648439417675,-2.9040585954402003,-2.8846953454001127,-0.3404647722019707
22,98.89954371033316,101.02119798708229,100.95900828602737,100.9616195869893,-2.732924946086143,-2.3098272626371013,-2.2856435520972718,0.6112706693370151
