t,F_true,F_smoothed,y_NE,lambda_NE_true,lambda_NE_smoothed,y_MW,lambda_MW_true,lambda_MW_smoothed,y_S,lambda_S_true,lambda_S_smoothed,y_W,lambda_W_true,lambda_W_smoothed
0,0.0,-1.2277617,-0.04612324315918942,-0.26753850473838053,0.19822918,0.06859862954688002,0.009728301725364952,0.21087368,-0.5013714955496714,-0.4370153830546066,-0.26308727,-0.5363187179722689,-0.494491878935888,-0.17602348
1,0.0457075619631647,-1.448908,-0.2628175478161013,-0.26333001179391513,0.025582075,-0.1315858022867488,-0.11897415781508071,0.03883838,-0.6070543337167444,-0.6313712487416482,-0.31258652,-0.4451856625619511,-0.4472385240282233,-0.040649667
2,-0.11029005397290964,-1.3371588,-0.3613531157783897,-0.18447529069343638,-0.0951446,-0.23691810096962818,-0.25773415035577363,-0.07845382,-0.6800876780243379,-0.6557490673933118,-0.38201603,-0.17140562936466214,-0.14437814063052695,0.15433905
3,0.0022776253980589384,-0.52790433,0.05298030573713249,0.007301697994062856,0.15802047,-0.1247849302290761,-0.1544965845720653,-0.061971366,-0.42460019711878394,-0.5145333529485552,-0.32753995,0.12348669941982612,0.1511459942995043,0.23642269
4,0.143362332856741,-0.5160252,0.09600598323628051,-0.072541791149961,0.1986871,-0.03610735016278992,-0.06670526250287781,0.02455309,-0.4220038432963623,-0.481511424843697,-0.3385684,0.11704100736207781,-0.17977952787224227,0.22068146
5,-0.14929294544133448,-1.5537039,-0.24719917153341156,0.042572928668955685,0.062079497,-0.05136359345370517,0.13973545673845755,0.12862599,-0.8002366193086594,-0.5504617340323339,-0.4761872,-0.3781084716528795,-0.22692418169186457,0.08480521
6,-0.3446198714706822,-1.7980385,-0.2493328150287718,-0.016980769014463472,0.108516276,-0.12919822699214278,0.2767853129420786,0.083275616,-0.9849854470759216,-0.6167738037395122,-0.59169406,-0.383196937000914,0.09909336120195653,0.1200369
7,-0.3254438109955894,-1.5974061,-0.37280535565859274,-0.03794208712792002,-0.054810137,0.0028566019637567344,0.20159395187398704,0.18522775,-0.868692049588046,-0.6833170949598486,-0.58246577,-0.1761283402329971,0.1989795610015161,0.23672196
8,-0.3728801998471267,-2.1403146,-0.3503202750226162,0.1336530343460826,0.07563305,-0.3218306149480653,-0.025355720329940767,-0.07103008,-1.3750218549012123,-0.7732971186224734,-0.8073689,-0.2346394278097768,0.21805988060688417,0.3048472
9,-0.37540037347277005,-1.9752241,-0.5415289570540436,-0.285006995016661,-0.1483845,-0.5681503800528778,-0.06815056581558729,-0.33033276,-0.6703806057135316,-0.285273488850535,-0.34283832,-0.2419301410359201,0.14400206237843358,0.25842616
