,published_yoy_frozen,published_yoy_live,reconstructed_m1,reconstructed_m2,residual_m1,residual_m2
2020-01-01,2.274987,2.474412,,,,
2020-01-02,2.268669,2.468094,,,,
2020-01-03,2.232266,2.431816,,,,
2020-01-04,2.232037,2.431724,,,,
2020-01-05,2.235289,2.434905,,,,
2020-01-06,2.236239,2.435812,,,,
2020-01-07,2.241469,2.441012,,,,
2020-01-08,2.225278,2.424963,,,,
2020-01-09,2.215505,2.415218,,,,
2020-01-10,2.231631,2.431235,,,,
2020-01-11,2.232041,2.43161,,,,
2020-01-12,2.229858,2.429452,,,,
2020-01-13,2.212136,2.411861,,,,
2020-01-14,2.272138,2.471746,,,,
2020-01-15,2.276662,2.476399,,,,
2020-01-16,2.251583,2.451663,,,,
2020-01-17,2.25754,2.457741,,,,
2020-01-18,2.246167,2.446393,,,,
2020-01-19,2.238709,2.43905,,,,
2020-01-20,2.234984,2.435463,,,,
2020-01-21,2.227484,2.428026,,,,
2020-01-22,2.226752,2.427376,,,,
2020-01-23,2.212107,2.412802,,,,
2020-01-24,2.179807,2.380579,,,,
2020-01-25,2.185342,2.386173,,,,
2020-01-26,2.181008,2.381859,,,,
2020-01-27,2.144385,2.345391,,,,
2020-01-28,2.135691,2.336722,,,,
2020-01-29,2.126906,2.328044,,,,
2020-01-30,2.107571,2.308872,,,,
2020-01-31,2.084509,2.285908,,,,
2020-02-01,2.239814,2.432172,,,,
2020-02-02,2.23947,2.431873,,,,
2020-02-03,2.213218,2.405762,,,,
2020-02-04,2.19472,2.387348,,,,
2020-02-05,2.191064,2.383831,,,,
2020-02-06,2.185989,2.378805,,,,
2020-02-07,2.207363,2.400045,,,,
2020-02-08,2.212674,2.405324,,,,
2020-02-09,2.21363,2.406351,,,,
2020-02-10,2.199322,2.392181,,,,
2020-02-11,2.197275,2.390218,,,,
2020-02-12,2.196492,2.389521,,,,
2020-02-13,2.205486,2.398535,,,,
2020-02-14,2.222493,2.415473,,,,
2020-02-15,2.188618,2.381687,,,,
2020-02-16,2.183873,2.377037,,,,
2020-02-17,2.190126,2.383423,,,,
2020-02-18,2.20684,2.400168,,,,
2020-02-19,2.222676,2.416094,,,,
2020-02-20,2.227387,2.420877,,,,
2020-02-21,2.224097,2.417557,,,,
2020-02-22,2.222906,2.416365,,,,
2020-02-23,2.218249,2.411765,,,,
2020-02-24,2.185303,2.379015,,,,
2020-02-25,2.172586,2.366388,,,,
2020-02-26,2.171821,2.365732,,,,
2020-02-27,2.132453,2.326513,,,,
2020-02-28,2.12358,2.317634,,,,
2020-02-29,2.113084,2.307113,,,,
2020-03-01,1.975105,2.14794,,,,
2020-03-02,1.96326,2.136202,,,,
2020-03-03,1.974833,2.147822,,,,
2020-03-04,1.971162,2.144372,,,,
2020-03-05,1.928438,2.101907,,,,
2020-03-06,1.909378,2.082885,,,,
2020-03-07,1.912985,2.086481,,,,
2020-03-08,1.885798,2.059442,,,,
2020-03-09,1.832458,2.006327,,,,
2020-03-10,1.827865,2.001751,,,,
2020-03-11,1.747569,1.921925,,,,
2020-03-12,1.654639,1.829489,,,,
2020-03-13,1.589861,1.76487,,,,
2020-03-14,1.542055,1.717112,,,,
2020-03-15,1.491012,1.666177,,,,
2020-03-16,1.38336,1.558908,,,,
2020-03-17,1.366241,1.541835,,,,
2020-03-18,1.279953,1.45585,,,,
2020-03-19,1.290367,1.466263,,,,
2020-03-20,1.288003,1.463812,,,,
2020-03-21,1.267944,1.443723,,,,
2020-03-22,1.252709,1.428533,,,,
2020-03-23,1.245915,1.421771,,,,
2020-03-24,1.24933,1.425252,,,,
2020-03-25,1.182656,1.358866,,,,
