origin,target,today,actual,persistence,median_drift_7d,median_drift_30d,mean_drift_30d,ewma_drift_14d
2025-01-01,2025-01-02,3.163398,3.189011,3.163398,3.180188,3.1690335,3.1650391,3.1593188494728683
2025-01-02,2025-01-03,3.189011,3.177477,3.189011,3.2146239999999997,3.1969499999999997,3.1935842666666665,3.1888908028764855
2025-01-03,2025-01-04,3.177477,3.004613,3.177477,3.20309,3.1831125,3.1812496,3.1758349624929547
2025-01-04,2025-01-05,3.004613,3.020182,3.004613,3.021403,3.0066435,3.001269833333333,2.9801413674938937
2025-01-05,2025-01-06,3.020182,3.170232,3.020182,3.0357510000000003,3.0222125,3.0151564,3.0010491184947083
2025-01-06,2025-01-07,3.170232,3.191869,3.170232,3.185801,3.1758675,3.173380133333333,3.173656836028747
2025-01-07,2025-01-08,3.191869,3.184648,3.191869,3.2074380000000002,3.1975045,3.1946604,3.1977221245582474
2025-01-08,2025-01-09,3.184648,3.184932,3.184648,3.2002170000000003,3.1866785,3.1866855000000003,3.1887579079504813
2025-01-09,2025-01-10,3.184932,3.227938,3.184932,3.1852159999999996,3.1852799999999997,3.1867037666666667,3.1885317868904166
2025-01-10,2025-01-11,3.227938,3.113995,3.227938,3.243507,3.2282859999999998,3.2304816,3.2367919486383614
2025-01-11,2025-01-12,3.113995,3.13668,3.113995,3.1295640000000002,3.1130139999999997,3.112726766666667,3.1064760221532466
2025-01-12,2025-01-13,3.13668,3.245195,3.13668,3.1583170000000003,3.135699,3.1352216333333334,3.1331882191994804
2025-01-13,2025-01-14,3.245195,3.243107,3.245195,3.266832,3.2471615,3.2477582999999997,3.2566374566395493
2025-01-14,2025-01-15,3.243107,3.276563,3.243107,3.243391,3.2450735,3.2457013333333333,3.2527453957542765
2025-01-15,2025-01-16,3.276563,3.222938,3.276563,3.299248,3.2821985,3.2809149666666664,3.2893770763203727
2025-01-16,2025-01-17,3.222938,3.267525,3.222938,3.245623,3.2285735,3.2261349333333333,3.22689353281099
2025-01-17,2025-01-18,3.267525,3.259019,3.267525,3.29021,3.2791205000000003,3.272413766666667,3.2768980617695243
2025-01-18,2025-01-19,3.259019,3.247445,3.259019,3.281704,3.2706144999999998,3.2636990999999997,3.266008186866921
2025-01-19,2025-01-20,3.247445,3.241675,3.247445,3.2453570000000003,3.2530805,3.250572533333333,3.251959095284665
2025-01-20,2025-01-21,3.241675,3.293081,3.241675,3.235905,3.2436415,3.2417002333333333,3.2448178825800427
2025-01-21,2025-01-22,3.293081,3.281368,3.293081,3.287311,3.2950475,3.2945656999999997,3.302658964902704
2025-01-22,2025-01-23,3.281368,3.274658,3.281368,3.272862,3.2833344999999996,3.2860487333333332,3.2881071695823434
2025-01-23,2025-01-24,3.274658,3.241159,3.274658,3.267948,3.273756,3.2789934333333335,3.2796039469713643
2025-01-24,2025-01-25,3.241159,3.29705,3.241159,3.232653,3.240257,3.2452572666666666,3.240978954041849
2025-01-25,2025-01-26,3.29705,3.30294,3.29705,3.29034,3.3049765,3.3032889333333335,3.304346093502936
2025-01-26,2025-01-27,3.30294,3.314248,3.30294,3.29717,3.3136695,3.310181,3.310048614369211
2025-01-27,2025-01-28,3.314248,3.327777,3.314248,3.320138,3.3228470000000003,3.317711366666667,3.3219165324533164
2025-01-28,2025-01-29,3.327777,3.363495,3.327777,3.333667,3.3363760000000005,3.330021766666667,3.336226928126208
2025-01-29,2025-01-30,3.363495,3.303542,3.363495,3.374803,3.3720939999999997,3.3663707,3.375580671042713
2025-01-30,2025-01-31,3.303542,3.301063,3.303542,3.3148500000000003,3.306629,3.3033430333333333,3.306022514903685
2025-01-31,2025-02-01,3.301063,3.118979,3.301063,3.312371,3.30415,3.3056518333333336,3.30288224624986
2025-02-01,2025-02-02,3.118979,3.125735,3.118979,3.124869,3.118077,3.1166446,3.0962778134165454
2025-02-02,2025-02-03,3.125735,3.150657,3.125735,3.1324910000000004,3.128822,3.1240102666666667,3.1069614382943396
2025-02-03,2025-02-04,3.150657,3.168207,3.150657,3.157413,3.15698,3.155525133333333,3.1377095131884274
2025-02-04,2025-02-05,3.168207,3.189753,3.168207,3.1749630000000004,3.1745300000000003,3.173141166666667,3.159325844763304
2025-02-05,2025-02-06,3.189753,3.186327,3.189753,3.1965090000000003,3.196076,3.1904037,3.1849287987948633
2025-02-06,2025-02-07,3.186327,3.141297,3.186327,3.193083,3.1894139999999997,3.186142266666667,3.1816892256222147
2025-02-07,2025-02-08,3.141297,3.159197,3.141297,3.148053,3.1443839999999996,3.1398519666666664,3.1312735955392528
2025-02-08,2025-02-09,3.159197,3.134462,3.159197,3.176747,3.16552,3.1583391666666665,3.152896716134019
2025-02-09,2025-02-10,3.134462,3.085075,3.134462,3.1520120000000005,3.1363630000000002,3.1313461333333334,3.1257037539828167
2025-02-10,2025-02-11,3.085075,3.082654,3.085075,3.0816489999999996,3.086976,3.0841109999999996,3.0708995867851074
2025-02-11,2025-02-12,3.082654,3.083718,3.082654,3.0792279999999996,3.0803995,3.080853133333333,3.0700458418804266
2025-02-12,2025-02-13,3.083718,3.103342,3.083718,3.080292,3.0814635000000004,3.0783354333333337,3.07293279629637
2025-02-13,2025-02-14,3.103342,3.127984,3.103342,3.100921,3.1026635000000002,3.0986831666666665,3.0966113567901874
2025-02-14,2025-02-15,3.127984,3.189916,3.127984,3.1290480000000005,3.1273055000000003,3.123031366666667,3.125436375884829
2025-02-15,2025-02-16,3.189916,3.203714,3.189916,3.1909800000000006,3.1933930000000004,3.188815266666667,3.1959656591001853
2025-02-16,2025-02-17,3.203714,3.137404,3.203714,3.217512,3.2071910000000003,3.201586966666667,3.2107967712201604
2025-02-17,2025-02-18,3.137404,3.166753,3.137404,3.151202,3.1408810000000003,3.1333501666666668,3.1347010683908056
2025-02-18,2025-02-19,3.166753,3.109679,3.166753,3.186377,3.173076,3.1640632666666666,3.1683236592720316
2025-02-19,2025-02-20,3.109679,3.085463,3.109679,3.1293029999999997,3.116002,3.105279133333333,3.103430371369094
2025-02-20,2025-02-21,3.085463,3.1081,3.085463,3.099261,3.08894,3.0785424,3.076818721853215
2025-02-21,2025-02-22,3.1081,3.036669,3.1081,3.121898,3.114423,3.1023243999999996,3.1036265589394527
