horizon_months,log_diesel<-log_diesel,log_diesel<-log_freight,log_diesel<-log_maintenance,log_diesel<-log_labor,log_diesel<-log_volume,log_freight<-log_diesel,log_freight<-log_freight,log_freight<-log_maintenance,log_freight<-log_labor,log_freight<-log_volume,log_maintenance<-log_diesel,log_maintenance<-log_freight,log_maintenance<-log_maintenance,log_maintenance<-log_labor,log_maintenance<-log_volume,log_labor<-log_diesel,log_labor<-log_freight,log_labor<-log_maintenance,log_labor<-log_labor,log_labor<-log_volume,log_volume<-log_diesel,log_volume<-log_freight,log_volume<-log_maintenance,log_volume<-log_labor,log_volume<-log_volume
0,0.04412393340917083,0.0,0.0,0.0,0.0,0.003930196494123,0.013687528760753956,0.0,0.0,0.0,0.000291279046499141,-0.0007541717818066611,0.004237564077787856,0.0,0.0,0.00026865990288157845,-2.5250307995466673e-05,0.00027957201169399675,0.005903466516214086,0.0,0.0008453464924379724,0.00047464333551094755,0.00032439542620692625,-0.0012968144155596532,0.014184710555544097
1,0.043383647607062405,0.0003456496771949293,-0.00013321987338543327,9.049106450219217e-05,-0.00016844504949704297,0.003920111075262655,0.013678387380278597,-4.522592330982488e-06,-2.03547512453519e-06,6.342143535135634e-06,0.0002948997511017791,-0.000754845723431162,0.00425843308794013,3.846901480764246e-06,1.1873249109528854e-06,0.00027272062913786036,-2.2043679794926912e-05,0.00028762820768999634,0.005919692878050855,2.155389573881283e-06,0.0008390202213474494,0.0004722124383122972,0.00030387745855573747,-0.001298108011386444,0.014112742253373953
2,0.04265686894423108,0.0006847577912442056,-0.0002643847798890244,0.00017935543843763385,-0.00033276793659254666,0.003910145497776032,0.013669195574580836,-9.054016356999395e-06,-4.092871676933413e-06,1.2672900934199958e-05,0.0002985197323752781,-0.0007555144186779335,0.00427940320752683,7.725119225866433e-06,2.3730582266168908e-06,0.00027677109822767234,-1.8821695562392122e-05,0.00029573359418835895,0.005935972947484706,4.304608185374659e-06,0.000832697995629242,0.0004697991178624437,0.00028336117666629676,-0.0012994318436030296,0.014041127368344722
3,0.04194334951896436,0.0010174443309765727,-0.00039353562577488713,0.00026662283877534334,-0.0004930496439065993,0.003900297486329803,0.013659954440811618,-1.359472000131233e-05,-6.171970195925649e-06,1.899177316782507e-05,0.00030213934147079775,-0.0007561780034936751,0.004300475011534261,1.1634794198650349e-05,3.557317434150506e-06,0.00028081174837201595,-1.558452480990315e-05,0.0003038885430076265,0.005952306864015648,6.4478165523134134e-06,0.0008263799519160747,0.00046740317177952693,0.0002628460929552026,-0.001300785982207015,0.013969864177075745
4,0.041242845967644826,0.001343827089695495,-0.0005207125765634418,0.00035232243454508646,-0.0006493696446052732,0.003890564807073089,0.013650665055938397,-1.8145145151316832e-05,-8.272556423261758e-06,2.529827377832985e-05,0.00030575892491017134,-0.0007568366114023765,0.0043216490768471895,1.5576068922222257e-05,4.740218438910982e-06,0.00028484301102802453,-1.2332333621204269e-05,0.0003120934264642258,0.0059686947687753915,8.58517304805552e-06,0.0008200662214732484,0.0004650244007666043,0.00024233171890271414,-0.0013021704973227547,0.01389895096330797
5,0.040555119381665214,0.0016640217053632638,-0.0006459550706729729,0.000436482856852747,-0.000801805930171241,0.0038809452668746515,0.013641328477114242,-2.2705727785807494e-05,-1.0394421213097829e-05,3.159192863096297e-05,0.00030937882467998464,-0.0007574903735498199,0.004342925982278049,1.9549087473408656e-05,5.9218755959571105e-06,0.0002888653110188603,-9.065284713804615e-06,0.0003203486174024055,0.005985136804515451,1.0716833745305924e-05,0.0008137569303019489,0.00046266260855821366,0.0002218175650563766,-0.0013035854592153041,0.01382838601789373
6,0.039879935225864256,0.0019781417000495935,-0.0007693018328117026,0.0005191322087122432,-0.0009504350376653945,0.00387143671257406,0.013631945742040194,-2.7276898099972725e-05,-1.2537360443072486e-05,3.787227566978668e-05,0.0003129993783239812,-0.0007581394187472679,0.004364306308595933,2.3553995476943675e-05,7.102401740990897e-06,0.00029287906666126636,-5.783537499901768e-06,0.00032865448922383245,0.006001633115595557,1.2842952459151227e-05,0.0008074521992405908,0.0004603176018678998,0.0002013031410343205,-0.0013050309383041546,0.01375816763878609
7,0.039217063258455476,0.0022862985186581737,-0.0008907908871249495,0.0006002980746973467,-0.0010953320764887852,0.003862037030246557,0.013622517869320987,-3.1859080628161185e-05,-1.470117492704141e-05,4.413886467811603e-05,0.0003166209190338254,-0.0007587838735143525,0.004385790638555397,2.7590940099882504e-05,8.281908220748471e-06,0.0002968846898908154,-2.4872481461882497e-06,0.00033701141591685496,0.006018183847972363,1.4963680789321215e-05,0.0008011521440642334,0.0004579891903366848,0.00018078795552824059,-0.0013065070051767548,0.013688294131027783
8,0.03856627745242165,0.0025886015669443914,-0.0010104595701018568,0.0006800075304167011,-0.0012365707546540365,0.003852744144481375,0.01361304585881426,-3.645269436446118e-05,-1.68856703294398e-05,5.0391257043429563e-05,0.00032024377573825337,-0.0007594238621211789,0.004407379556925065,3.166007004623738e-05,9.460504922850381e-06,0.0003008825863848985,8.234303674385949e-07,0.0003454197720854403,0.0060347891491884485,1.707916816169141e-05,0.0007948568755821018,0.0004556771864824671,0.00016027151630606002,-0.0013080137306018254,0.01361876380673972
9,0.03792735591834802,0.002885158248837198,-0.0011283445432460945,0.0007582871518152745,-0.0013742234045752088,0.0038435560176732614,0.013603530691973375,-4.1058152881133363e-05,-1.909065708124312e-05,5.66290255266693e-05,0.000323868273190642,-0.0007600595066296585,0.004429073650516054,3.5761535551832616e-05,1.0638300305121237e-05,0.000304873155683495,4.148348190243272e-06,0.00035387993297779325,0.0060514491683615985,1.9189561869040564e-05,0.00078856649973325,0.0004533814056503307,0.0001397533302142846,-0.0013095511855424694,0.013549574985109112
