horizon_months,mom_food_cogs<-mom_food_cogs,mom_food_cogs<-mom_utilities,mom_food_cogs<-mom_rent,mom_food_cogs<-mom_labor,mom_food_cogs<-mom_menu,mom_food_cogs<-mom_traffic,mom_utilities<-mom_food_cogs,mom_utilities<-mom_utilities,mom_utilities<-mom_rent,mom_utilities<-mom_labor,mom_utilities<-mom_menu,mom_utilities<-mom_traffic,mom_rent<-mom_food_cogs,mom_rent<-mom_utilities,mom_rent<-mom_rent,mom_rent<-mom_labor,mom_rent<-mom_menu,mom_rent<-mom_traffic,mom_labor<-mom_food_cogs,mom_labor<-mom_utilities,mom_labor<-mom_rent,mom_labor<-mom_labor,mom_labor<-mom_menu,mom_labor<-mom_traffic,mom_menu<-mom_food_cogs,mom_menu<-mom_utilities,mom_menu<-mom_rent,mom_menu<-mom_labor,mom_menu<-mom_menu,mom_menu<-mom_traffic,mom_traffic<-mom_food_cogs,mom_traffic<-mom_utilities,mom_traffic<-mom_rent,mom_traffic<-mom_labor,mom_traffic<-mom_menu,mom_traffic<-mom_traffic
0,0.7181270381253866,0.0,0.0,0.0,0.0,0.0,0.1721715207174755,0.7772891453837982,0.0,0.0,0.0,0.0,-0.08434201873458184,0.2034966930921258,1.3204147740588876,0.0,0.0,0.0,0.035259650087004345,0.03941205354811955,0.011353328417601002,0.39781027716321804,0.0,0.0,0.012024952707796068,0.02544804888899977,0.01621471278380871,0.01291672170930989,0.13192198844957154,0.0,1.8924448285530284,-0.6491126830094529,0.24142377731367246,0.6260258915902,0.30169207839855106,4.520315113035357
1,0.22260675349759967,0.052826717336191514,0.06364402055583579,0.08167358032630166,-0.013725351177671877,-0.05596423494297747,0.06056968590876507,0.1723084262948955,-0.05268918581606245,0.15657637987420572,-0.003652271373826845,-0.008314044577107528,-0.2120861834674677,-0.08734979309650222,-0.13463332917224716,0.17703846204793763,0.034714470387038836,0.2832009645852924,0.07804517519434248,0.0030801291936767327,0.019207060706606667,0.16506617875922946,0.02138389867478129,-0.0010416319571327909,0.01103915683947321,0.023818638646655326,0.011985687582666386,0.013984524271733129,0.10420629787320497,-0.0003554681919721009,0.7179413292742585,-0.19966730980534778,0.047443854698299835,1.000907933824186,-0.1843328988663346,0.6331319027303249
2,0.07314032119834185,0.020622051114023494,0.015337180558480002,0.06534377231637693,-0.0036927117651386794,-0.012810419024855918,0.05448867746055469,0.042033930055201986,0.0027491626819164533,0.09019477258552079,0.003935394747296248,-0.016220740390781814,-0.012102354025912296,-0.03241721144788838,-0.0010982972253918855,0.05287408608573392,0.01096306661196313,0.0332338300713045,0.05100629469208868,0.00506664026057491,0.015840978939997908,0.07508885057700135,0.024879267582439597,-0.003086109722336993,0.009994999256071167,0.019722669263855967,0.00955925183092348,0.013186053568763487,0.08250215748049572,-0.0006150570433574235,0.3826345049658044,-0.06666791713555366,0.07840329875386629,0.5226246762380036,-0.1615416812706021,0.05844511350384398
3,0.03157542811255577,0.0071833751533419464,0.007009927656307643,0.036985526199609264,0.0008697801243380852,-0.004540512958918816,0.03243160751509736,0.012259146020786833,0.00677235035597055,0.046348593122365535,0.008556813814270746,-0.006358407859023241,0.006137044491262435,-0.008299001683267006,0.004097714357803508,0.017829809963592402,0.008576609003601273,0.0055955063642744675,0.027827184631038428,0.005893821691837946,0.009386505928201599,0.03716631908240909,0.023312008583832772,-0.0018734022920310171,0.008660169494971658,0.01585950424370377,0.007723149007374438,0.011508565438524253,0.06544312282468871,-0.0006242027285423979,0.18850080282662024,-0.028052544065194383,0.04035242757363749,0.2479970949468567,-0.10871366223354409,-0.0019205655894214608
4,0.015212625493463802,0.0028826230115017765,0.0038057140368837235,0.019241914754553207,0.00270367304186981,-0.001802921291172994,0.01756609283905604,0.005075539172105055,0.004833582496271045,0.023627314472534047,0.009383978938898307,-0.0023772700389348956,0.004831453873062438,-0.0009338700168856981,0.0024726209953707624,0.007416620178261377,0.007157930079550459,0.0010088275567545642,0.014978436617946983,0.005294984229252368,0.005619940920424249,0.019524601832395995,0.020173427190756855,-0.00108549072310229,0.007257203571652468,0.012654393018156622,0.006221298181224032,0.009650070185176761,0.05197112396171725,-0.0005462944122369928,0.08912848023141898,-0.01565563198091851,0.01727812769366276,0.11501259658045691,-0.0739641106870106,-0.004930401444119651
5,0.007635555946447746,0.001524733628749839,0.002142402935479077,0.009840405789553228,0.003144910141381366,-0.0007740390983597058,0.009349479526065714,0.002991821511202854,0.0030278132137124118,0.012283366192831728,0.008651582444188037,-0.0009819370751051142,0.002811148790784682,0.0008170157360970448,0.0013873458027286757,0.0037281419364607275,0.005888347333466882,0.00012215894490480165,0.008331900456970884,0.0043679167459053205,0.003570503787166544,0.010829128449125328,0.016825716318345438,-0.0006333024864172655,0.005956233569676144,0.010075409035961509,0.004990488284749379,0.007916406232091413,0.04130010065934531,-0.00045418217203751707,0.04072295150632127,-0.010818470839003457,0.00624474998449636,0.05210543257667977,-0.052433219965219234,-0.002876095288815477
6,0.00392995256399765,0.001013700458418272,0.0012396064407208967,0.0050855344916598605,0.002982407603000997,-0.0003582878000313516,0.005065500055320735,0.0021394560411305244,0.0019027667364900107,0.006604668233001184,0.007437902376663341,-0.000459991392564841,0.0016433170592509696,0.0010454107053181672,0.0008656454938580241,0.002130089199774003,0.0047857625845132735,-4.406789533445164e-05,0.004883191637784645,0.003507807384885326,0.0024119855362306278,0.006365024814635299,0.01376059972027115,-0.00037979751139817546,0.004827805271918946,0.008017086476346571,0.003990753955939725,0.006413568049748562,0.032833120536916886,-0.00036969425626561593,0.017712219397613006,-0.008250119227230198,0.001364884754831393,0.022529079407598292,-0.0385618895261125,-0.0013686484072007305
7,0.0020833899524902496,0.0007546008494342335,0.0007486653431631892,0.002700651104812977,0.002603928334194787,-0.00017816757709805773,0.0028533884262628463,0.0016436892334353997,0.0012459494717735066,0.0037178650982676083,0.006181083182331639,-0.00024039601920889503,0.0010213858777964125,0.0009268983815303145,0.0005957615730718794,0.0013299341796891941,0.003859318016276958,-5.940428167633669e-05,0.003040065579240441,0.0027952225659090583,0.0017142537123646122,0.003978741516559659,0.011128550620510743,-0.00023803109830962356,0.003884069774181653,0.006378060267380785,0.0031848493660806094,0.005158140027121438,0.026108169190692684,-0.0002978987954181869,0.0069834732770959074,-0.0065033372654653195,-0.00063668309107235,0.008794574488513939,-0.02914261069068187,-0.0005686200690759882
8,0.0011499236509680188,0.0005861355818257819,0.00047716497040072205,0.0014940784152154389,0.002182964596694904,-9.478918309723658e-05,0.001694482490200104,0.0012921744455942643,0.0008566933284648384,0.002212974608300368,0.005043847494737953,-0.00013747206804837892,0.0006779184064881783,0.0007594001656962362,0.0004358629473827389,0.0008887354035892041,0.0030964153448462223,-4.803296467752973e-05,0.0020098778421980775,0.0022230787573502353,0.001265496890821749,0.002640623158757854,0.008940871851485944,-0.00015715260816241973,0.0031108647034335567,0.005073796916197687,0.002538487602426144,0.0041304335952812585,0.020763620372235433,-0.00023876167596592545,0.002118179993894391,-0.005172402832883205,-0.001333199927752346,0.0025832550538639476,-0.022438264991656322,-0.00018480213450771413
9,0.0006682952316639663,0.0004620094411728772,0.00032138892869392507,0.000871128748751899,0.0017903889749182945,-5.3896411893024036e-05,0.0010680763397345682,0.0010233119015143133,0.0006153368722033065,0.001399643884572758,0.004073479668857023,-8.49202539850382e-05,0.0004755201902958292,0.0006089770910740964,0.00033011545196305847,0.0006263705136959022,0.00247622922477684,-3.583503122784867e-05,0.001401186809902086,0.0017675117328698462,0.0009593533997929105,0.0018467489012662407,0.0071550608347053955,-0.0001091138448360873,0.002484876703820463,0.004036146346528998,0.0020217365755278173,0.0032988515119009125,0.016514583267997967,-0.00019078289830172434,2.2051250343884873e-05,-0.004120817232741812,-0.0014588776804042728,-8.061017738701139e-05,-0.017488313615918155,-1.3919729907693507e-05
10,0.0004120685575403091,0.0003660644896748617,0.00022727398266331878,0.000539157901872863,0.0014502670887316955,-3.275889122847936e-05,0.0007138385081571718,0.0008124344773931347,0.0004572248462555074,0.0009386412651656649,0.003269938539173536,-5.607739919992562e-05,0.000347796979081709,0.0004854313485755492,0.0002550071987371946,0.00045948018059422497,0.0019762065660902037,-2.6682734136746172e-05,0.0010189487669484904,0.0014054190317718588,0.0007402765957176964,0.0013461529635898266,0.005712403353112249,-7.902206403307882e-05,0.0019816232953335186,0.003210672244677891,0.0016094164509076387,0.0026305369564964104,0.013135759508870262,-0.0001521733277029511,-0.0007873309126185113,-0.0032826304843453086,-0.00135290568976566,-0.00109805007435691,-0.01373665670740535,5.419956625328025e-05
11,0.00026984761607322556,0.00029063030211848415,0.00016699697092727137,0.00035438048207331535,0.0011662574571737723,-2.1232388721188375e-05,0.0005020203086243399,0.0006456446012876683,0.0003480362168619816,0.0006620276477283067,0.0026154638001558345,-3.913155896654498e-05,0.00026201203421178623,0.000386318362497969,0.00019928169055418994,0.00034677068880079623,0.0015751531638879188,-2.0181085738468807e-05,0.0007642308769872783,0.0011176495220453536,0.000577808897384587,0.0010113190969093847,0.0045541036382428695,-5.9076017405704016e-05,0.0015787327466123351,0.002554010214934621,0.0012808166190998516,0.002095611787746411,0.010448567964182608,-0.00012124780772182759,-0.0010159733844754453,-0.002613849351564593,-0.0011692570534686045,-0.0013741326155824718,-0.010842427591052875,7.491684613259938e-05
12,0.00018658396533797702,0.00023094681087886183,0.00012615033551147245,0.0002458134837327415,0.0009338287357274364,-1.4569213570618319e-05,0.000367454690492613,0.0005133211944057082,0.0002692509724839833,0.00048563296932774427,0.0020874574143486383,-2.84938616217939e-05,0.0002013530679860545,0.0003073154515439509,0.00015681902336784072,0.0002667834267779297,0.001254512615702508,-1.5509717931480836e-05,0.000585496726404112,0.0008888934884360279,0.0004542765648429,0.0007756568051279032,0.0036275231483154056,-4.515643970079155e-05,0.0012570017270807654,0.002031645607214735,0.0010191289395440214,0.0016684963102440008,0.008311260316940294,-9.65449434487899e-05,-0.0009968640058864464,-0.002080588989193918,-0.000975148737533269,-0.0013355388427151132,-0.00858381102553671,7.504059817730257e-05
13,0.00013482428714170602,0.00018360179365861155,9.710597292146514e-05,0.0001780603710768903,0.000745788961960627,-1.046945962579576e-05,0.00027685341623818793,0.00040820804635860605,0.00021049716496611865,0.000366454434984007,0.0016638668212095838,-2.13943657862382e-05,0.00015675247354725373,0.00024444879294591485,0.000123925465163432,0.0002078313252132842,0.0009986668236943038,-1.206534711590034e-05,0.00045488483577422144,0.0007070069249367793,0.0003587714378201224,0.0006030557378954173,0.0028879435591637696,-3.5030040756931353e-05,0.0010004720702618856,0.0016161159043573826,0.0008108207208825816,0.0013279647047277326,0.006611228851176652,-7.684501328844119e-05,-0.0008843483190122373,-0.001655718724563021,-0.0007975071172762774,-0.0011797988345949755,-0.00680829692308104,6.718349348736227e-05
14,0.00010066276918629409,0.00014599829801326366,7.5673804708786e-05,0.00013317752266461856,0.0005946840688220293,-7.786667644180638e-06,0.0002127475990811134,0.0003246589173787339,0.00016565945925432047,0.0002818890566568939,0.0013251813142396655,-1.6403630220647958e-05,0.00012303799227359225,0.0001944423063573513,9.818344605526121e-05,0.00016319940079455943,0.0007947677079811541,-9.46377246090331e-06,0.0003565877224892218,0.0005623628438967032,0.00028413669787271523,0.00047295382947040336,0.0022984134575267908,-2.7433815554109224e-05,0.0007961188027897306,0.001285572563940173,0.000645048323520933,0.0010567072565270607,0.005258969568093615,-6.115034717316144e-05,-0.0007477219413039485,-0.0013174042104960046,-0.000644951504183659,-0.0009953583239602673,-0.005406172010566124,5.7072626474441305e-05
15,7.688453383541869e-05,0.00011611269314581833,5.943522406630115e-05,0.00010183951177802306,0.0004737463081840033,-5.93203090379685e-06,0.00016561113764874806,0.00025822844646488144,0.00013091262474831735,0.00021957795717305917,0.0010549286130009125,-1.275098165994036e-05,9.707234321866332e-05,0.00015466756814199213,7.791069416836102e-05,0.00012879154131416776,0.000632387175785589,-7.4628557967191686e-06,0.00028110761746455296,0.00044732315581218733,0.00022541427443447412,0.00037294715406927594,0.0018288708469776727,-2.1613728501878313e-05,0.0006334207364117243,0.0010226344284184619,0.0005131477625195677,0.0008407486752243414,0.004183319637486318,-4.8654116405996e-05,-0.0006162194440499434,-0.00104811577156532,-0.0005181524496438889,-0.0008193159944173912,-0.0042957851413908165,4.715815686848062e-05
16,5.961454577494475e-05,9.23523132592386e-05,4.691033504807595e-05,7.902501762403423e-05,0.00037718642840953094,-4.5918982697575545e-06,0.0001299839222508165,0.00020539943604384515,0.00010371832359332484,0.00017241257553963856,0.0008395447014666074,-9.998933327189827e-06,7.683041287256514e-05,0.00012303052935141908,6.188302264303e-05,0.0001019516030402725,0.0005031287838145086,-5.904749280143109e-06,0.00022237900053597999,0.0003558224948643526,0.00017901580960160286,0.0002950828644030732,0.0014550786241981073,-1.7091813185180047e-05,0.000503930984541586,0.000813474711548357,0.00040820859363871015,0.0006688723071782958,0.0033276880914185,-3.8708129474111265e-05,-0.0005005617606898865,-0.0008338221700288097,-0.0004146506254453265,-0.0006650776351025361,-0.0034149088800871177,3.836468414040843e-05
17,4.6673424486645777e-05,7.345774683268155e-05,3.7137231809418395e-05,6.190055822241645e-05,0.0003002028309059333,-3.5912918262118883e-06,0.00010254844193356648,0.00016338248616203983,8.23019834073671e-05,0.00013605684782279083,0.000668016710506859,-7.884077111300004e-06,6.092851006289441e-05,9.786561913975722e-05,4.9181240515134565e-05,8.085813859743068e-05,0.0004002642692221436,-4.68165903551145e-06,0.00017629829812184345,0.00028304133200145794,0.00014225903790854094,0.00023396167601010115,0.0011576001333706868,-1.354697752949622e-05,0.0004008927228817082,0.0006470943407059727,0.00032472480437724236,0.000532107345507403,0.0026470667275191122,-3.0793681512061514e-05,-0.0004032075318683719,-0.0006633178638275225,-0.0003310410500937306,-0.0005355077984038533,-0.002715362362536999,3.093048557516971e-05
