date,F_smoothed,y_rent_primary_log_std,lambda_rent_primary,y_owners_eq_rent_log_std,lambda_owners_eq_rent,y_electricity_log_std,lambda_electricity,y_utility_gas_log_std,lambda_utility_gas
2010-01-31,-1.4283868,-1.4051359816979285,-0.051642716,-1.3110981451408412,-0.027007908,-1.1618103579390664,-0.24039361,0.09991477753546929,1.2795813
2010-02-28,-1.4305675,-1.405226863006455,-0.048329804,-1.3123686087831263,-0.026772637,-1.203707378760088,-0.23193458,0.1299503660450533,1.2655125
2010-03-31,-1.4213237,-1.4021150101268374,-0.05006656,-1.3169492518803319,-0.03344978,-1.064202739646162,-0.14798266,0.05341488911473695,1.1883246
2010-04-30,-1.4208989,-1.399663077965883,-0.048585877,-1.3177170234751105,-0.03493414,-1.0135175850984868,-0.1062492,-0.08146369383362927,1.0824711
2010-05-31,-1.422572,-1.3973029631887552,-0.0450335,-1.314142903113478,-0.03195515,-1.0617234134824511,-0.12627217,-0.031874614793318795,1.1018242
2010-06-30,-1.4249922,-1.391384320096685,-0.04011014,-1.3106427598515278,-0.028569097,-1.0895143685385988,-0.14260171,-0.07422220601200565,1.0789173
2010-07-31,-1.419122,-1.3884159950276653,-0.04060811,-1.3081746793038873,-0.02919629,-1.0625497658852525,-0.13173719,-0.025252397732897905,1.1062367
2010-08-31,-1.4167191,-1.3909537029833232,-0.042075038,-1.3076476448981704,-0.029498462,-1.0435270473787999,-0.12321721,-0.036414851145856915,1.0944163
2010-09-30,-1.4183986,-1.3837740330218775,-0.03745664,-1.3049173720460006,-0.026830483,-1.0720395659944901,-0.13853925,-0.09362941483275668,1.0499995
2010-10-31,-1.4165865,-1.3838419366879688,-0.03538782,-1.3014224772133975,-0.02421226,-1.0869083566184221,-0.14874588,-0.07659062534770167,1.0328856
2010-11-30,-1.4175694,-1.3720389625909135,-0.027602766,-1.2948450194412953,-0.020024456,-1.0718031618651216,-0.13993992,-0.29997196487279965,0.868948
2010-12-31,-1.4075142,-1.3616808153437265,-0.024298258,-1.2894925782427147,-0.020606153,-1.0433307793679145,-0.12875043,-0.2605157481677941,0.8664923
2011-01-31,-1.403576,-1.3503964934763868,-0.020051975,-1.2827370000428293,-0.019764591,-1.0710152010786491,-0.1408909,-0.2964816002312786,0.84575254
2011-02-28,-1.3907332,-1.3419873333538574,-0.021694075,-1.2740587498429186,-0.022176484,-1.0559807733274658,-0.13251792,-0.1989834548389324,0.904086
2011-03-31,-1.3783786,-1.3332541636704363,-0.024742141,-1.2687243723709085,-0.026997654,-0.9966061639712522,-0.099011734,-0.2317943176919703,0.88953966
2011-04-30,-1.3646737,-1.3265730899511226,-0.02942279,-1.2633708375823622,-0.032503325,-0.9772802095366899,-0.08250487,-0.13811329814654175,0.95178753
2011-05-31,-1.3515882,-1.3180426695457474,-0.032417484,-1.2563825722868769,-0.03597792,-0.9451659189863304,-0.06727075,-0.09021797099670208,0.9837433
2011-06-30,-1.3450072,-1.3090560079542017,-0.03193547,-1.2469349089641077,-0.034938835,-0.9721063732243018,-0.07301974,-0.11427118989724813,0.957386
2011-07-31,-1.3310046,-1.2993031102719999,-0.032743014,-1.233169241611822,-0.034281734,-0.900116251559255,-0.037603706,-0.19136795070351478,0.8880951
2011-08-31,-1.3171089,-1.2798921111447015,-0.029068481,-1.2214182092791799,-0.03496726,-0.8924926980631714,-0.026624076,-0.17962276566694732,0.8758622
2011-09-30,-1.3033198,-1.2665745369754369,-0.026159745,-1.2142651075616195,-0.036867887,-0.8551399390824037,-0.00916596,-0.17948711104126272,0.8524822
2011-10-31,-1.2965478,-1.2498389567625643,-0.018206593,-1.2027620732404376,-0.03336394,-0.8566719054785266,-0.011096534,-0.28795389039825925,0.75151765
2011-11-30,-1.2924522,-1.2375623313228257,-0.009884558,-1.1938431936181066,-0.028084908,-0.8678646028967855,-0.022617497,-0.39828439462817805,0.6397234
2011-12-31,-1.2885919,-1.2244980617141492,-0.0010037031,-1.182331338667819,-0.020702545,-0.8827241453524699,-0.03843248,-0.5079715229018604,0.5245114
2012-01-31,-1.2862206,-1.2142308902930088,0.007688619,-1.1707707227098811,-0.012193486,-0.8973431675194408,-0.0553286,-0.6389769399025856,0.39062953
2012-02-29,-1.2864984,-1.2016148686359707,0.017972156,-1.162482983322689,-0.0040090214,-0.9183203998764865,-0.07575502,-0.8248423430452779,0.23013434
2012-03-31,-1.2806358,-1.1908203832955595,0.024745245,-1.1493018315604513,0.0035047792,-0.948305359542107,-0.09963039,-0.8494979700966586,0.17331693
2012-04-30,-1.2732886,-1.1767943057070664,0.031554546,-1.1356829881185975,0.009906157,-0.9387360435303903,-0.10357651,-0.944346716899433,0.07314374
2012-05-31,-1.2710017,-1.1658075205584406,0.038159408,-1.1280007318283345,0.014280096,-0.9392393921812917,-0.10903854,-1.1261677092526718,-0.06932666
2012-06-30,-1.2606801,-1.1568421005318241,0.040131874,-1.121606178601656,0.014331961,-0.9448946700333201,-0.1247004,-1.0528634162948998,-0.038136084
2012-07-31,-1.2542152,-1.1441798512623933,0.043506995,-1.111899181827263,0.015946232,-0.997191382672505,-0.15912955,-1.0331454604398496,-0.012275917
2012-08-31,-1.2368695,-1.132844841971828,0.041738182,-1.0993122252246068,0.014672903,-0.9730786307176348,-0.15964681,-0.9145910174934788,0.06912422
2012-09-30,-1.223099,-1.1194153325361305,0.041898027,-1.0856418424656824,0.013966495,-0.9648766706539392,-0.15872535,-0.9057182619649475,0.084561035
2012-10-31,-1.2057546,-1.0976198762612759,0.043581285,-1.0749072903123749,0.009865208,-0.945398425776116,-0.15207234,-0.8561772176555993,0.1282092
2012-11-30,-1.1851473,-1.0867428534411891,0.039125152,-1.06506645616602,0.0037542377,-0.9189382525818688,-0.14300042,-0.6908047227392806,0.2439272
2012-12-31,-1.1721073,-1.075329464795902,0.037337042,-1.0556092241677593,0.0005618781,-0.9170462369055543,-0.14065814,-0.6739460101262145,0.25845745
2013-01-31,-1.158485,-1.0629980469174258,0.036406893,-1.0451335301685614,-0.0016533937,-0.8774988835452406,-0.1229565,-0.7308730933516108,0.21556257
2013-02-28,-1.1423203,-1.048922632252487,0.035605285,-1.0327740582028473,-0.003828479,-0.8662920327827387,-0.1207924,-0.6659181689736475,0.2472541
